movieId,tmdbId,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,original_language,status
27,9263,12000000,27400000,102,6.6614,6.879,489,1995-10-20,en,Released
28,17015,1500000,5269757,107,4.178,7.212,153,1995-05-01,en,Released
29,902,18000000,1738611,112,7.3528,7.244,1267,1995-05-17,fr,Released
30,37557,2300000,0,108,2.4753,6.78,118,1995-09-14,zh,Released
31,9909,23000000,179519401,99,12.7895,7.014,1343,1995-08-11,en,Released
32,63,29000000,168841459,129,22.9134,7.614,9402,1995-12-29,en,Released
34,9598,30000000,254100000,92,12.2763,6.293,3214,1995-07-18,en,Released
36,687,11000000,39363635,122,9.5028,7.31,1539,1995-12-29,en,Released
38,33689,14500000,19474589,101,9.0986,6.501,1005,1995-11-17,en,Released
39,9603,12000000,56631572,97,16.4902,7.246,4930,1995-07-19,en,Released
40,34615,0,676525,106,2.0674,6.8,28,1995-12-15,en,Released
41,31174,0,2748518,104,3.4631,6.785,198,1995-12-29,en,Released
42,11443,10000000,24100000,119,5.5813,6.683,347,1995-09-29,en,Released
43,35196,19000000,4005941,117,3.2705,6.122,144,1995-12-29,en,Released
44,9312,18000000,122195920,101,10.379,5.914,2665,1995-08-18,en,Released
45,577,20000000,21300000,106,9.0356,6.587,924,1995-09-22,en,Released
46,11861,10000000,41200020,116,4.9064,6.376,202,1995-10-06,en,Released
47,807,33000000,327311859,127,40.6336,8.381,23820,1995-09-22,en,Released
48,10530,55000000,346079773,81,14.595,6.913,6202,1995-06-16,en,Released
49,8391,0,0,96,2.6824,6.295,95,1995-02-01,en,Released
50,629,6000000,23300000,106,24.5657,8.163,11758,1995-07-19,en,Released
52,11448,15000000,26000000,95,5.9001,6.729,757,1995-09-13,en,Released
53,49133,0,0,112,2.2848,7.164,67,1994-09-09,it,Released
54,26441,0,0,100,3.2668,5.635,211,1995-09-29,en,Released
55,97406,0,1110974,115,1.8118,5.745,47,1995-05-19,en,Released
57,9089,20000000,22119269,103,3.8695,6.255,196,1995-11-02,en,Released
58,11010,3000000,33000000,114,6.3054,7.911,1249,1994-09-22,it,Released
60,11359,45000000,35700000,96,6.0985,6.492,716,1995-07-14,en,Released
61,17182,20000000,26877589,101,5.4974,6.277,491,1996-01-12,en,Released
62,2054,31000000,106300000,143,6.2163,6.954,470,1995-12-29,en,Released
63,10607,3800000,20949601,89,10.5592,7.06,1570,1996-01-12,en,Released
64,19760,0,10658278,96,4.9614,5.01,102,1996-01-12,en,Released
65,9536,8500000,13400000,95,5.1381,4.642,427,1996-01-12,en,Released
66,11525,15000000,2409225,92,5.17,3.297,180,1996-01-12,en,Released
68,4482,0,0,95,2.6637,6.071,338,1995-01-18,fr,Released
69,10634,3500000,28215918,91,9.4535,7.16,2105,1995-04-26,en,Released
70,755,19000000,25800000,108,21.164,7.05,6709,1996-01-19,en,Released
71,11859,50000000,11500000,91,4.706,5.2,349,1995-11-03,en,Released
72,28387,0,718490,96,2.6702,6.193,249,1995-10-06,en,Released
73,48750,0,0,175,2.3135,6.6,87,1995-03-22,fr,Released
74,20927,0,19030691,87,3.0666,5.872,129,1996-01-26,en,Released
75,36929,15000000,2042530,90,3.408,4.705,83,1996-01-26,en,Released
76,9102,20000000,5781885,108,4.7927,6.2,627,1995-09-08,en,Released
77,124626,0,0,70,1.3268,8.1,13,1995-09-08,en,Released
78,27526,0,0,111,4.0715,6.027,294,1995-01-26,en,Released
79,9623,44000000,22754725,118,7.9705,5.714,456,1996-02-02,en,Released
80,46785,0,0,85,1.7886,7.484,127,1995-01-02,fa,Released
81,400,8000000,529766,116,7.7493,6.442,447,1995-12-01,en,Released
82,880,900000,0,102,3.0183,6.914,152,1995-09-21,nl,Released
83,146599,0,0,115,2.0564,4.167,6,1996-01-26,en,Released
85,8447,0,0,118,1.911,6.186,59,1995-09-10,en,Released
86,10534,38000000,10300000,129,6.5883,6.27,421,1996-02-02,en,Released
87,17414,16000000,0,88,5.1207,5.412,256,1996-01-12,en,Released
88,13997,32400000,32000000,86,5.0219,6.068,474,1996-02-02,en,Released
89,2086,33000000,8175346,89,5.4418,6.2,835,1995-11-22,en,Released
92,9095,47000000,12379402,108,3.1667,5.772,349,1996-02-23,en,Released
93,12158,14000000,19800000,102,4.0775,5.095,659,1995-10-26,en,Released
94,9283,16000000,27000000,112,7.0765,6.673,422,1996-02-09,en,Released
95,9208,50000000,150300000,108,14.2726,6.1,1742,1996-02-09,en,Released
96,40154,0,0,99,2.9969,7.098,46,1995-09-29,en,Released
97,406,2600000,15300000,98,11.9975,8.083,4704,1995-05-31,fr,Released
99,63076,0,0,106,1.8791,6.733,15,1995-12-27,en,Released
100,11062,40000000,33440204,111,6.506,5.964,334,1996-02-16,en,Released
101,13685,7000000,1040879,91,6.3844,6.701,1239,1996-02-21,en,Released
102,47475,0,0,96,2.2059,4.119,67,1996-02-16,en,Released
103,2045,18000000,0,116,3.4839,5.626,123,1996-02-23,en,Released
104,9614,12000000,41422354,92,14.2923,6.675,3468,1996-02-16,en,Released
105,688,24000000,182000000,135,11.8208,7.714,2439,1995-06-02,en,Released
106,11907,0,0,104,1.6549,6.365,37,1994-11-07,de,Released
107,10874,31000000,38506751,100,6.3014,6.723,490,1996-02-16,en,Released
108,89333,0,0,95,2.2032,7.8,9,1995-12-08,en,Released
110,197,72000000,213216216,178,24.052,7.944,11447,1995-05-24,en,Released
111,103,1900000,28579636,114,26.7104,8.122,13803,1976-02-09,en,Released
112,33542,7500000,76028558,106,8.7635,6.854,1225,1995-01-21,cn,Released
113,43566,35000000,8797839,108,6.0,5.923,220,1996-02-23,en,Released
116,51352,0,0,117,1.6139,7.6,25,1995-06-08,en,Released
117,16934,0,0,99,2.6229,6.652,56,1995-01-20,en,Released
118,10324,5000000,2420162,92,2.9364,5.4,61,1996-03-08,en,Released
119,78406,25000000,6278139,113,2.7029,4.5,23,1995-09-29,en,Released
121,32119,0,204540,93,2.4688,7.1,46,1994-06-03,en,Released
122,11066,40000000,131052444,117,5.7309,5.694,653,1992-06-28,en,Released
123,11104,160000,1000000,103,14.8477,7.976,2285,1994-07-14,cn,Released
125,2074,7000000,14702438,93,5.7135,6.176,276,1996-03-22,en,Released
126,27793,17000000,0,95,5.5435,4.461,440,1994-10-26,de,Released
128,290157,0,0,87,0.8098,7.125,8,1995-09-08,en,Released
129,110972,0,0,95,2.2467,6.633,15,1996-02-09,en,Released
132,11863,50000000,9851610,95,4.4436,5.51,304,1995-10-11,en,Released
135,9101,0,37553585,92,8.0069,6.405,552,1996-03-01,en,Released
137,5757,0,209935,86,2.2926,3.563,8,1995-09-15,en,Released
140,9302,60000000,100688562,119,4.8661,6.276,246,1996-03-01,en,Released
141,11000,31000000,185300000,119,8.6702,7.051,1422,1996-03-03,en,Released
144,16388,25000,19326506,98,2.2864,6.098,107,1995-08-11,en,Released
145,9737,19000000,141407024,119,24.1985,6.831,7151,1995-04-07,en,Released
146,30765,0,7506759,84,2.8576,5.726,104,1995-08-25,en,Released
147,10474,2000000,2381087,102,10.012,7.402,2292,1995-04-21,en,Released
148,22279,4000000,851545,113,2.6971,6.497,72,1995-05-11,en,Released
149,30157,0,0,105,2.8729,6.196,112,1994-08-05,en,Released
150,568,52000000,355237933,140,14.3027,7.5,6118,1995-06-30,en,Released
151,11780,28000000,31600000,139,5.5278,6.722,733,1995-04-13,en,Released
152,34996,0,302393,82,4.3421,6.5,326,1995-10-06,en,Released
153,414,100000000,336529144,121,17.1591,5.5,5751,1995-06-16,en,Released
154,649,0,0,101,8.4465,7.3,1042,1967-05-24,fr,Released
155,1873,23000000,14700000,100,2.8409,6.511,88,1995-08-25,en,Released
156,5894,2000000,1300000,83,4.4434,6.544,192,1995-09-15,en,Released
157,1775,11000000,178104,91,4.3766,5.745,269,1995-06-08,en,Released
158,8839,50000000,287928194,100,11.9472,6.347,5056,1995-05-26,en,Released
159,20649,25000000,13100000,128,4.5913,6.702,372,1995-09-15,en,Released
160,10329,50000000,152022101,108,7.9398,5.617,1019,1995-06-09,en,Released
161,8963,53000000,157387195,116,14.4637,7.188,2074,1995-05-12,en,Released
162,26564,0,3041083,121,3.1535,7.546,296,1995-04-28,en,Released
163,8068,7000000,25405445,104,12.0913,6.93,3251,1995-08-25,en,Released
164,8512,27000000,16140822,102,4.75,6.456,479,1995-09-29,en,Released
165,1572,90000000,366101666,128,17.3616,7.3,6849,1995-05-19,en,Released
166,13552,800000,284785,84,4.4448,6.506,328,1995-10-20,en,Released
168,6520,55000000,127600435,134,9.1218,6.089,1375,1995-07-07,en,Released
169,9073,31000000,30077111,95,7.1942,5.9,664,1995-07-19,en,Released
170,10428,20000000,7563728,105,12.2424,6.4,1551,1995-09-14,en,Released
171,17447,0,3487767,92,2.9049,6.25,76,1995-08-18,en,Released
172,9886,25000000,19075720,97,9.1826,5.772,1592,1995-05-26,en,Released
173,9482,90000000,113493481,96,13.2024,5.851,2848,1995-06-30,en,Released
174,19326,0,17014653,88,2.5441,4.385,131,1995-04-12,en,Released
175,9344,1500000,20412216,91,9.1597,6.878,1360,1995-07-21,en,Released
176,9071,500000,1148752,90,3.3608,7.161,342,1995-07-21,en,Released
177,8973,0,13294594,109,3.3961,5.91,391,1995-08-25,en,Released
178,15730,0,0,100,2.8902,5.76,48,1994-07-22,en,Released
179,47608,0,15453274,95,4.1622,5.18,125,1995-05-26,en,Released
180,2293,6000000,2122561,95,7.5137,6.759,1444,1995-10-20,en,Released
181,9070,15000000,66433194,96,5.9163,5.893,796,1995-06-30,en,Released
183,48787,0,0,95,3.9989,6.449,167,1995-09-15,en,Released
184,34574,0,0,93,2.6372,5.698,63,1995-09-01,en,Released
185,1642,22000000,110627965,114,10.1033,6.057,1582,1995-07-28,en,Released
186,11472,35000000,138500000,103,7.4677,5.721,725,1995-07-12,en,Released
187,36196,150000,472370,94,3.8778,6.6,108,1995-06-09,en,Released
188,11980,8000000,16115878,98,6.6241,6.502,584,1995-08-05,en,Released
189,58372,0,0,91,2.1353,6.6,9,1995-11-17,en,Released
190,32646,1000000,512558,119,4.4609,6.955,365,1995-06-23,en,Released
191,10533,50000000,10382407,135,5.9443,6.1,538,1995-10-13,en,Released
193,10802,45000000,20367472,131,12.115,5.559,1440,1995-09-22,en,Released
194,10149,7000000,8349430,112,4.7009,7.192,551,1995-06-09,en,Released
195,18402,30000000,77300000,106,3.7538,5.6,262,1995-08-04,en,Released
196,9348,35000000,113400000,108,9.5353,6.0,1932,1995-07-07,en,Released
198,281,42000000,17000000,145,8.901,7.022,1615,1995-10-13,en,Released
199,5967,200000,7600000,93,7.6712,7.386,911,1964-02-19,fr,Released
201,47939,10000000,7027000,115,2.8565,6.213,89,1995-10-27,en,Released
202,36834,0,339889,111,5.3456,6.413,568,1995-11-03,en,Released
203,9090,0,47774193,108,8.2491,7.5,844,1995-09-08,en,Released
204,3512,60000000,104324083,99,9.2119,5.862,1066,1995-07-13,en,Released
205,52856,0,0,93,1.572,6.1,32,1995-09-15,en,Released
206,77350,0,0,73,2.6313,5.4,19,1995-08-11,en,Released
207,9560,20000000,50012507,103,11.1364,7.376,1158,1995-05-27,en,Released
208,9804,175000000,264218220,135,15.7798,6.237,4231,1995-07-28,en,Released
209,31611,7000000,9000000,89,3.3059,5.046,89,1995-12-01,en,Released
210,65796,30000000,2193982,98,4.1401,5.7,183,1995-12-01,en,Released
211,49805,0,487391,97,2.2209,6.354,65,1994-06-08,en,Released
212,26258,0,7919823,90,2.9479,5.4,131,1995-08-04,en,Released
213,50797,2800000,2616503,135,2.0366,6.926,210,1994-05-01,ru,Released
214,19155,0,763847,113,2.284,7.36,193,1994-06-09,mk,Released
215,76,2500000,5987386,101,16.4677,8.0,4869,1995-01-27,en,Released
216,11017,10000000,26488734,90,8.7484,6.179,1877,1995-02-10,en,Released
217,37141,0,0,90,3.9612,5.128,195,1995-10-17,en,Released
218,9382,21000000,23450000,115,8.0995,6.403,272,1995-02-03,en,Released
219,6715,0,2568235,97,5.0677,7.925,366,1995-04-21,en,Released
220,18256,0,0,90,4.7623,6.103,247,1996-04-20,en,Released
222,22625,15000000,45000000,103,2.2167,6.3,99,1995-04-07,en,Released
223,2292,27575,3158707,92,8.4601,7.368,2869,1994-10-19,en,Released
224,1909,25000000,68792531,97,5.0513,6.75,824,1994-10-12,en,Released
225,8984,55000000,214015089,128,8.2698,6.243,1309,1994-12-09,en,Released
227,4954,45000000,62000000,101,6.2151,5.751,476,1994-12-08,en,Released
228,62488,0,1200000,103,2.8086,5.0,49,1995-04-28,en,Released
229,10531,12000000,8003716,103,4.0193,7.061,583,1994-05-04,en,Released
230,11929,13000000,46400000,132,6.251,7.3,905,1995-03-24,en,Released
231,8467,16000000,247275374,107,22.6347,6.665,6937,1994-12-16,en,Released
232,10451,0,24194403,123,5.7144,7.618,422,1994-08-03,zh,Released
233,20156,2000000,4221036,103,4.6535,6.638,405,1994-09-29,en,Released
234,18395,27500000,6800000,114,3.3131,4.225,102,1994-10-14,en,Released
235,522,18000000,5900000,127,5.8929,7.477,2590,1994-09-28,en,Released
236,397,0,101982854,111,7.1319,6.487,822,1995-05-05,en,Released
237,10525,0,33177694,101,2.7121,6.319,166,1995-05-19,en,Released
238,27985,0,0,81,3.2843,6.204,103,1995-01-13,en,Released
239,15789,18000000,35348597,78,16.46,7.04,1969,1995-04-05,en,Released
240,27303,15000000,12201255,103,3.7105,5.201,174,1995-03-03,en,Released
241,21183,15000000,4000000,96,5.2382,7.038,287,1995-06-02,en,Released
242,10954,0,0,111,3.048,6.548,199,1994-12-01,fr,Released
243,47867,0,3992809,90,1.6576,5.368,34,1995-05-12,en,Released
246,14275,700000,7830611,174,2.175,7.593,344,1994-09-12,en,Released
247,1024,5000000,3049135,109,5.3765,6.955,1064,1994-09-12,en,Released
248,17207,10500000,26300000,109,2.7558,5.512,81,1995-01-06,en,Released
249,13701,120,0,121,5.9624,7.102,380,1994-12-16,en,Released
250,14819,10000000,17700000,97,4.9784,6.181,430,1995-02-17,en,Released
251,32631,15000000,6600000,110,5.5298,5.709,127,1995-02-24,en,Released
252,11777,25000000,26381221,100,3.9613,6.023,508,1994-12-24,en,Released
253,628,60000000,223664608,123,21.0788,7.4,6615,1994-11-11,en,Released
254,87729,14000000,2474000,139,2.0761,5.1,50,1995-03-31,en,Released
255,18713,0,0,82,2.076,4.4,35,1995-02-03,en,Released
256,6280,60000000,108400000,110,5.8552,5.197,1704,1994-11-22,en,Released
257,9061,0,36853222,102,5.2857,6.253,646,1995-02-17,en,Released
258,37108,0,0,89,3.2519,4.938,201,1995-08-11,en,Released
259,6071,40000000,14942422,101,5.2755,5.693,371,1995-04-21,en,Released
260,11,11000000,775398007,121,40.5687,8.207,22894,1977-05-25,en,Released
261,9587,18000000,94983123,115,11.6081,7.269,1373,1994-12-21,en,Released
262,19101,17000000,10000000,97,5.9259,7.64,1073,1995-05-10,en,Released
263,49980,39000000,152457,101,2.2038,7.196,107,1994-02-18,en,Released
265,18183,2000000,21744201,105,3.7214,7.279,569,1992-04-16,es,Released
266,4476,30000000,160638883,133,17.3679,7.392,2949,1994-12-23,en,Released
267,11008,31100000,30112050,95,7.8586,6.5,937,1995-03-24,en,Released
269,32325,0,3267313,92,2.779,6.6,37,1994-06-08,en,Released
270,43742,60000000,18300000,108,3.4741,5.508,65,1994-10-21,en,Released
271,28313,17000000,7603766,106,4.5899,6.514,110,1995-03-17,en,Released
272,11318,0,15238994,107,5.1805,6.764,276,1994-12-28,en,Released
273,3036,45000000,112000000,123,7.1013,6.437,1411,1994-11-04,en,Released
274,40490,0,0,96,3.5532,5.407,198,1995-03-03,en,Released
275,24070,15000000,0,97,5.3544,5.4,227,1994-12-21,en,Released
276,8986,0,18137661,108,4.219,6.486,323,1994-08-31,en,Released
277,10510,0,46264384,114,8.3419,6.758,1196,1994-11-18,en,Released
278,17402,0,5,95,3.7209,5.32,61,1995-01-27,en,Released
279,38722,5500000,11079373,128,4.9051,7.416,89,1995-05-03,en,Released
280,8438,20000000,29500000,122,7.9186,7.137,632,1995-01-20,en,Released
281,11593,20000000,39491975,110,5.0494,6.885,358,1994-12-23,en,Released
282,1945,31000000,106683817,112,5.1189,6.532,565,1994-12-23,en,Released
283,39310,5000000,0,98,2.4978,6.23,50,1995-04-19,en,Released
284,109560,0,0,88,2.4839,3.8,10,1993-08-14,en,Released
285,56428,4800000,0,89,1.8806,5.1,10,1994-04-22,en,Released
287,131957,0,0,100,1.845,5.567,15,1995-03-03,en,Released
288,241,34000000,110000000,119,15.1278,7.049,3921,1994-08-26,en,Released
289,9058,0,20059210,109,7.2116,6.719,584,1994-03-04,en,Released
290,527,950000,6700000,99,4.2018,7.375,514,1994-09-02,en,Released
291,18220,0,0,106,4.2068,4.8,152,1996-04-26,en,Released
292,6950,50000000,189900000,129,12.8934,6.589,2588,1995-03-10,en,Released
293,101,16000000,20330788,111,31.3877,8.29,16540,1994-09-14,fr,Released
294,63020,11000000,2832826,113,2.8137,6.093,43,1995-05-12,en,Released
295,2307,0,345972,94,3.041,5.294,17,1995-04-28,en,Released
296,680,8000000,213928762,154,50.6885,8.48,30909,1994-09-10,en,Released
298,25296,400000,152322,105,1.9434,7.269,93,1991-12-07,zh,Released
299,40156,0,4176932,98,3.5546,6.317,153,1995-03-24,en,Released
300,11450,31000000,24822619,133,7.6854,7.242,1018,1994-08-25,en,Released
301,30304,0,0,94,2.6724,6.5,25,1995-05-05,en,Released
302,10452,0,1318578,138,5.4488,7.193,436,1994-05-13,fr,Released
303,12106,35000000,47000000,107,11.6957,6.555,2039,1995-02-09,en,Released
304,161495,22000000,12400000,108,2.6664,5.7,32,1995-03-03,en,Released
305,3586,15000000,11300653,133,5.4018,5.224,234,1994-12-23,en,Released
306,110,0,4127033,100,8.5647,7.9,1599,1994-05-12,fr,Released
307,108,0,1527572,98,5.799,7.614,1953,1993-09-08,fr,Released
308,109,0,1273525,92,7.1706,7.433,1371,1994-01-26,fr,Released
310,36357,0,0,85,2.2096,5.562,81,1995-01-01,en,Released
311,92769,0,0,90,2.1441,5.2,10,1994-12-16,en,Released
312,28033,6300000,912082,95,2.6854,5.179,28,1995-04-12,en,Released
313,22586,20000000,9771658,89,7.4711,6.631,1054,1994-11-18,en,Released
314,14334,5700000,6160000,103,2.8687,6.7,101,1994-05-14,en,Released
315,2636,45000000,170362582,110,10.6168,5.95,1505,1994-10-07,en,Released
316,2164,55000000,196567262,121,15.7148,7.034,3977,1994-10-28,en,Released
317,11395,22000000,189833357,97,10.352,6.529,2373,1994-11-11,en,Released
318,278,25000000,28341469,142,73.3958,8.731,31385,1994-09-23,en,Released
319,9905,2500000,19779614,93,7.3875,6.992,1190,1994-12-22,en,Released
320,87078,0,102780,96,1.499,6.453,43,1993-09-14,en,Released
321,12527,0,2087569,108,2.7449,7.0,86,1993-12-01,es,Released
322,20306,700000,382928,93,3.0048,6.621,343,1994-09-10,en,Released
324,36614,0,0,100,2.5499,6.756,78,1994-07-28,en,Released
325,27993,0,0,91,3.2333,5.485,103,1995-09-08,en,Released
326,31439,0,0,133,5.385,8.08,395,1994-05-18,zh,Released
327,9067,25000000,4064495,104,6.477,5.512,598,1995-03-31,en,Released
328,9059,13000000,21089146,93,6.1828,6.852,583,1995-01-13,en,Released
329,193,38000000,118071125,118,7.1666,6.524,1560,1994-11-18,en,Released
330,25066,6000000,12000000,98,3.7899,6.264,199,1995-05-24,en,Released
331,46797,0,0,115,2.0357,6.118,34,1994-04-15,en,Released
332,12122,22000000,9418365,98,6.6243,6.108,954,1995-04-28,en,Released
333,11381,20000000,32648673,98,7.1675,6.801,1098,1995-03-31,en,Released
334,32636,0,1746050,120,2.8461,6.668,98,1994-10-19,en,Released
335,36141,6500000,0,99,3.5094,5.7,93,1995-04-28,en,Released
336,95963,0,6014541,88,1.5645,6.032,31,1995-02-24,en,Released
337,1587,11000000,10000000,118,12.2856,7.657,4391,1993-12-17,en,Released
338,9271,30000000,24048000,106,6.5632,5.5,636,1995-08-04,en,Released
339,2064,17000000,182100000,103,11.9848,7.033,2067,1995-04-21,en,Released
340,19855,0,16,126,4.7127,6.666,232,1994-11-04,en,Released
341,60855,0,759393,87,1.223,6.475,20,1994-09-07,en,Released
342,236,3000000,15119639,106,6.1361,6.831,507,1994-09-29,en,Released
343,48287,0,0,94,3.4273,5.451,102,1995-08-18,en,Released
344,3049,15000000,107217396,86,15.4815,6.584,6584,1994-02-04,en,Released
345,2759,2000000,29700000,103,5.2121,7.249,959,1994-08-10,en,Released
346,12635,0,0,100,3.2729,6.1,112,1994-04-01,en,Released
347,10497,5000000,1862805,139,6.9529,7.107,880,1992-09-02,en,Released
348,11382,20000000,37483747,98,4.867,7.074,688,1994-10-14,en,Released
349,9331,62000000,215887717,141,13.7615,6.648,1752,1994-08-03,en,Released
350,10731,45000000,117615211,119,13.3341,6.689,1440,1994-07-20,en,Released
351,10464,12500000,20100000,115,4.4339,6.689,469,1994-08-12,en,Released
352,34152,14000000,13640000,114,3.2222,6.811,167,1994-05-13,en,Released
353,9495,23000000,93722164,102,14.429,7.529,4674,1994-05-11,en,Released
354,29973,25500000,1007583,128,3.701,5.668,107,1994-12-02,en,Released
355,888,46000000,341631208,91,12.7597,5.38,2685,1994-05-27,en,Released
356,13,55000000,677387716,142,47.7075,8.461,30499,1994-06-23,en,Released
357,712,4400000,245700832,117,10.2062,6.773,3081,1994-03-09,en,Released
358,16295,20000000,38300000,128,5.4457,6.322,255,1995-01-11,en,Released
359,48992,0,1777020,104,2.1302,6.3,21,1994-10-14,en,Released
360,10879,45000000,61947267,123,4.329,5.481,233,1994-06-29,en,Released
361,10660,20000000,37939757,101,10.3027,6.747,971,1994-07-16,en,Released
362,10714,27000000,53508356,111,5.4018,6.012,521,1994-12-23,en,Released
363,41647,0,449707,188,1.654,7.206,34,1993-09-11,de,Released
364,8587,45000000,763455561,89,45.1642,8.25,20159,1994-06-15,en,Released
365,1689,35000000,4900000,123,6.2342,6.275,459,1993-12-01,en,Released
366,11596,8000000,19721741,112,9.4361,6.452,1648,1994-10-13,en,Released
367,854,23000000,351583407,101,24.6029,6.994,11597,1994-07-29,en,Released
368,9359,75000000,183031272,127,7.1817,6.901,1843,1994-05-20,en,Released
369,23333,0,0,125,3.3629,5.9,57,1994-09-07,en,Released
370,36593,30000000,132032598,83,14.218,6.516,2622,1994-03-18,en,Released
371,12280,6000000,48400000,112,7.0293,6.563,246,1994-03-18,en,Released
372,2788,11500000,33351557,98,7.1953,6.536,818,1994-02-18,en,Released
373,10427,8000000,2500000,98,5.1071,6.789,410,1993-05-14,en,Released
374,11011,40000000,38087756,94,10.176,5.953,2484,1994-12-19,en,Released
376,8987,45000000,94216343,111,7.7319,6.459,991,1994-09-30,en,Released
377,1637,30000000,350448145,116,18.842,7.159,7070,1994-06-09,en,Released
378,15128,38000000,25067959,99,3.7448,6.0,108,1994-12-16,en,Released
379,8831,28000000,128953581,98,9.8854,6.033,1387,1994-09-15,en,Released
380,36955,115000000,378900000,141,18.308,7.102,4737,1994-07-15,en,Released
381,10449,0,50021959,126,5.5922,6.627,398,1994-04-29,en,Released
382,10395,70000000,131002597,125,6.6088,6.138,1047,1994-06-17,en,Released
383,12160,63000000,25052000,191,6.9933,6.797,973,1994-06-24,en,Released
384,40480,0,0,108,2.5855,4.953,75,1995-01-20,en,Released
385,52038,0,934550,99,1.7826,6.2,21,1994-12-24,en,Released
386,29444,0,0,96,2.0197,5.934,114,1995-01-20,en,Released
387,26352,10000000,29392418,100,3.9421,5.68,125,1994-11-23,en,Released
388,39953,0,0,91,2.2036,5.0,15,1994-09-30,en,Released
389,41580,0,0,110,2.5404,6.654,78,1994-09-21,fr,Released
390,315,45000,36122,83,4.5238,6.352,378,1965-08-06,en,Released
391,22067,7000000,20851521,119,2.6328,6.754,61,1994-05-22,en,Released
393,11667,35000000,99423521,102,10.2192,4.681,1694,1994-12-23,en,Released
405,8011,30000000,36738574,99,6.4647,4.749,568,1994-11-29,en,Released
406,171857,0,0,97,1.0892,4.818,11,1995-02-24,en,Released
407,2654,8000000,8946600,95,7.9139,7.206,2003,1995-02-03,en,Released
408,18069,7000000,19623396,105,3.6738,7.075,114,1994-02-25,en,Released
409,19092,0,0,96,3.9969,7.063,248,1994-03-23,en,Released
410,2758,47000000,48919043,94,14.3716,6.987,3418,1993-11-19,en,Released
412,10436,34000000,32255440,138,10.3541,6.954,1252,1993-09-10,en,Released
413,13595,15000000,5751882,92,5.403,6.221,858,1994-08-05,en,Released
414,46094,17000000,21011500,107,3.2222,6.2,172,1994-01-07,en,Released
415,9409,30000000,30008496,109,6.2349,5.446,259,1993-07-22,en,Released
416,11853,0,15240435,99,7.092,5.345,275,1994-04-22,en,Released
417,16771,3200000,0,100,2.2666,6.275,91,1994-07-29,en,Released
418,46924,40000000,5000000,122,3.3158,5.115,65,1994-05-06,en,Released
419,11041,25000000,57405220,93,6.9509,6.326,619,1993-10-15,en,Released
420,306,50000000,119208989,105,12.8181,5.868,2213,1994-05-24,en,Released
421,14522,0,0,88,4.6256,6.724,355,1994-07-29,en,Released
422,26203,11000000,16668552,106,3.2426,6.112,206,1993-10-01,en,Released
423,178,28000000,30156002,121,7.0366,6.215,650,1994-07-01,en,Released
424,19819,35000000,26000000,108,3.5267,6.108,217,1994-02-18,en,Released
425,57834,0,0,101,3.0576,6.071,155,1994-09-16,en,Released
426,4722,13000000,428868,87,6.0884,6.2,498,1993-06-09,en,Released
427,18215,4000000,1796389,107,4.5216,5.0,261,1993-03-22,en,Released
428,1607,22000000,17287898,121,17.8572,7.9,3014,1993-10-01,en,Released
429,26391,0,3662459,80,2.7515,5.235,115,1994-01-07,en,Released
430,117553,13000000,2600000,90,3.1993,5.191,68,1993-09-03,en,Released
